,0
60657,305.7692307692308
10023,409.1922005571031
77494,167.1641791044776
60614,255.7788944723618
77449,197.9591836734694
79936,170.37037037037038
77084,189.79591836734696
10002,482.962962962963
10467,332.5581395348837
11226,621.0526315789474
60640,352.13675213675214
94109,431.7164179104478
10016,417.8694158075602
78660,189.85507246376812
37013,211.11111111111111
32162,285.48387096774195
11235,436.0294117647059
11375,453.2894736842105
60647,355.3191489361702
90250,427.11864406779665
37211,261.2903225806451
10029,390.4166666666667
10009,490.2985074626866
77573,196.55172413793102
60618,300.0
78130,202.8985507246377
77584,203.70370370370372
10011,569.7183098591549
10128,430.9352517985611
28269,169.11764705882354
20002,693.5064935064935
78613,181.8181818181818
78572,148.0769230769231
30349,153.84615384615387
79912,166.66666666666669
94565,304.2105263157895
90046,542.5
77433,179.31034482758622
75052,236.73469387755102
20009,493.2330827067669
37042,194.0
73099,215.2173913043478
77429,172.8813559322034
10462,288.6363636363636
10456,135.609756097561
77479,192.06349206349208
10003,540.0673400673401
60613,330.8219178082192
63376,213.43283582089555
30044,187.5
10019,414.4927536231884
77036,181.8181818181818
10463,354.3307086614173
28277,194.73684210526315
30043,186.20689655172413
11212,146.03174603174602
11230,523.8095238095239
60625,269.5238095238095
78245,205.88235294117646
11209,449.0566037735849
60629,182.35294117647058
30096,204.91803278688522
7030,454.43037974683546
60610,257.30337078651684
11221,849.2957746478874
78704,276.9784172661871
75287,192.5
85032,290.4761904761905
77077,178.66666666666666
10024,515.0943396226415
33160,297.6470588235294
23464,250.0
21234,197.4025974025974
30024,206.34920634920638
75243,246.15384615384616
98052,385.7142857142857
11214,419.7183098591549
78521,137.2093023255814
8701,276.6666666666667
77379,165.51724137931035
94501,464.0845070422535
78666,215.15151515151513
11207,385.1063829787234
33411,255.55555555555554
11229,414.28571428571433
78745,234.0
60619,142.85714285714286
23462,235.71428571428572
28027,186.36363636363635
94110,629.3478260869565
33025,264.70588235294116
75067,220.8955223880597
90034,570.4697986577181
33139,362.99212598425197
44107,203.125
48197,180.82191780821915
2169,359.5744680851064
11377,482.1138211382114
66062,255.17241379310346
34787,256.140350877193
44035,127.41935483870968
95630,293.5483870967742
90044,379.7979797979798
90805,376.1467889908257
80134,252.27272727272728
90650,343.5897435897436
85710,198.33333333333334
92683,373.2142857142857
10314,342.9906542056075
11211,776.2589928057554
19143,188.88888888888889
11234,354.9618320610687
85281,322.5806451612903
11355,517.5182481751824
30281,169.81132075471697
85225,283.60655737704917
11215,796.2962962962963
60617,140.625
37075,233.33333333333334
94558,349.1803278688525
90026,726.6666666666666
87114,165.9090909090909
32210,232.55813953488374
43081,182.43243243243242
91910,313.72549019607845
6010,168.35443037974684
17603,183.33333333333331
78240,195.0
89108,223.943661971831
93722,253.96825396825395
87111,180.2325581395349
85308,249.23076923076923
79938,155.0
76063,203.27868852459017
77459,190.74074074074073
48180,152.45901639344262
94533,303.57142857142856
33908,195.0
97229,113.55140186915888
91709,349.4949494949495
75056,208.82352941176472
76028,223.63636363636363
78577,145.09803921568627
44060,145.2054794520548
30040,207.46268656716418
11238,863.0252100840336
33024,314.49275362318843
98012,302.0618556701031
95608,283.9080459770115
14850,249.18032786885246
85364,209.80392156862746
43123,179.71014492753622
33647,264.58333333333337
27587,169.62025316455694
80013,283.13253012048193
11385,423.5294117647059
90066,609.6153846153845
92677,354.0983606557377
20906,216.34615384615384
44256,166.66666666666669
77845,179.72972972972974
47906,225.99999999999997
6902,263.04347826086956
2148,386.046511627907
65807,180.76923076923077
78641,184.0
45011,209.6153846153846
11373,496.6666666666667
92336,340.2985074626866
99301,281.0344827586207
95823,314.0625
7302,685.8407079646017
27410,148.0
30188,220.96774193548384
46307,179.16666666666669
92345,319.6078431372549
65203,178.68852459016392
77450,169.84126984126985
10028,370.0
89121,212.12121212121212
27406,127.69230769230768
92126,401.9230769230769
98103,452.94117647058823
27610,163.88888888888889
92804,371.42857142857144
8753,222.97297297297297
75228,302.0408163265306
60634,174.7967479674797
92101,408.57142857142856
20011,485.05747126436785
43130,175.80645161290323
28078,185.91549295774647
92503,351.3157894736842
76244,193.44262295081967
91911,337.5
28314,135.71428571428572
95747,254.25531914893617
34135,211.9047619047619
90019,649.0196078431372
75035,170.0
60016,155.37190082644628
11233,146.09375
87120,163.52941176470588
77095,177.77777777777777
33009,316.66666666666663
22191,249.39759036144576
40475,231.1111111111111
23320,212.12121212121212
32218,238.0952380952381
21740,190.0
94536,459.71223021582733
7002,275.0
34711,261.11111111111114
43230,178.2051282051282
30052,201.8867924528302
90280,320.1680672268908
30041,216.4179104477612
92592,300.0
10027,494.5652173913044
89117,212.65822784810123
30080,239.3939393939394
46227,141.89189189189187
19111,237.28813559322032
74012,189.36170212765958
27834,183.7837837837838
21117,188.50574712643677
90201,314.04958677685954
32256,230.9090909090909
11236,315.625
38401,254.0
91730,356.47058823529414
89052,232.94117647058826
32244,226.08695652173913
32822,259.25925925925924
92109,446.97986577181206
43026,185.5263157894737
80634,254.76190476190476
7093,368.2926829268293
48103,203.1578947368421
90004,663.1147540983607
29072,173.77049180327867
30062,226.47058823529412
75206,202.5
33186,284.61538461538464
90706,347.27272727272725
33012,300.0
30331,153.44827586206898
75217,267.5
2155,401.01010101010104
10701,273.6363636363636
37130,254.9019607843137
92335,377.46478873239437
95123,417.64705882352945
91342,376.3440860215054
2360,311.2676056338028
20001,226.1992619926199
11372,641.5730337078652
32174,232.20338983050848
92021,312.0
93065,305.4054054054054
87121,167.6056338028169
45840,159.32203389830508
33063,270.0
60649,143.63636363636363
23454,259.09090909090907
72401,220.00000000000003
34953,374.2857142857143
60626,263.6363636363636
27858,202.27272727272728
22193,243.18181818181816
48185,155.0
92627,415.7894736842105
33027,247.05882352941177
85705,210.3448275862069
23666,198.27586206896552
44130,132.46753246753246
90025,461.1111111111111
20878,245.87155963302752
30022,208.0
33064,318.0327868852459
37128,285.7142857142857
8831,197.89473684210526
20147,265.2173913043478
11218,618.1818181818181
20019,371.25
91710,338.6363636363636
43228,160.56338028169014
11223,480.71428571428567
43701,187.2340425531915
30004,220.27027027027026
44077,139.70588235294116
90027,590.4411764705882
55901,252.38095238095238
10021,353.4391534391534
94544,375.38461538461536
60616,242.156862745098
93727,256.6666666666667
97402,276.0
33313,257.57575757575756
58103,143.92523364485982
35242,204.16666666666666
27703,214.03508771929825
27713,216.66666666666666
77082,182.35294117647058
71913,185.41666666666669
23223,245.83333333333334
80525,266.29213483146066
29464,373.4375
19124,236.11111111111111
30127,193.44262295081967
27284,164.0625
98682,271.7948717948718
95051,521.9653179190751
98115,436.697247706422
80015,257.83132530120486
90731,374.38016528925624
77840,175.0
37064,286.7647058823529
91335,429.0322580645161
42101,253.84615384615384
75150,240.81632653061226
32225,266.66666666666663
60622,372.88135593220335
32828,231.14754098360658
95687,298.87640449438203
77007,134.28571428571428
23452,257.37704918032784
85142,306.3829787234043
