,0
60657,305.7692307692313
10023,409.19220055710264
77494,167.16417910447723
60614,255.77889447236157
77449,197.9591836734694
79936,170.37037037037013
77084,189.79591836734687
10002,482.9629629629627
10467,332.5581395348832
11226,621.0526315789468
60640,352.13675213675225
94109,431.7164179104471
10016,417.8694158075606
78660,189.8550724637676
37013,211.11111111111128
32162,285.4838709677422
11235,436.0294117647057
11375,453.2894736842102
60647,355.3191489361701
90250,427.1186440677967
37211,261.29032258064524
10029,390.41666666666737
10009,490.2985074626865
77573,196.5517241379309
60618,300.00000000000006
78130,202.8985507246373
77584,203.70370370370364
10011,569.7183098591543
10128,430.9352517985613
28269,169.11764705882374
20002,693.5064935064912
78613,181.81818181818176
78572,148.07692307692292
30349,153.84615384615364
79912,166.6666666666665
94565,304.2105263157888
90046,542.5000000000001
77433,179.31034482758628
75052,236.73469387755102
20009,493.23308270676813
37042,194.0000000000001
73099,215.2173913043475
77429,172.88135593220355
10462,288.6363636363635
10456,135.6097560975609
77479,192.06349206349196
10003,540.0673400673393
60613,330.82191780821927
63376,213.4328358208954
30044,187.49999999999994
10019,414.4927536231884
77036,181.8181818181816
10463,354.3307086614182
28277,194.73684210526312
30043,186.2068965517241
11212,146.03174603174605
11230,523.8095238095241
60625,269.5238095238099
78245,205.8823529411765
11209,449.0566037735849
60629,182.3529411764705
30096,204.9180327868851
07030,454.430379746835
60610,257.3033707865164
11221,849.2957746478874
78704,276.9784172661873
75287,192.5000000000001
85032,290.4761904761903
77077,178.66666666666652
10024,515.0943396226419
33160,297.6470588235294
23464,249.99999999999991
21234,197.40259740259737
30024,206.3492063492064
75243,246.15384615384625
98052,385.71428571428623
11214,419.7183098591549
78521,137.20930232558095
08701,276.66666666666663
77379,165.51724137931026
94501,464.0845070422537
78666,215.15151515151504
11207,385.1063829787223
33411,255.55555555555546
11229,414.285714285714
78745,234.00000000000003
60619,142.85714285714295
23462,235.71428571428564
28027,186.3636363636364
94110,629.3478260869556
33025,264.70588235294093
75067,220.8955223880591
90034,570.4697986577171
33139,362.9921259842524
44107,203.12499999999983
48197,180.82191780821918
02169,359.5744680851068
11377,482.11382113821077
66062,255.17241379310326
34787,256.1403508771925
44035,127.41935483870976
95630,293.54838709677387
90044,379.7979797979799
90805,376.14678899082514
80134,252.27272727272717
90650,343.589743589744
85710,198.33333333333348
92683,373.214285714285
10314,342.9906542056071
11211,776.2589928057546
19143,188.88888888888894
11234,354.96183206106855
85281,322.5806451612906
11355,517.5182481751825
30281,169.81132075471695
85225,283.60655737704883
11215,796.2962962962993
60617,140.62499999999963
37075,233.333333333333
94558,349.18032786885226
90026,726.6666666666657
87114,165.90909090909068
32210,232.55813953488288
43081,182.43243243243228
91910,313.7254901960786
06010,168.3544303797467
17603,183.3333333333332
78240,194.99999999999983
89108,223.94366197183112
93722,253.9682539682537
87111,180.23255813953466
85308,249.23076923076914
79938,154.99999999999986
76063,203.2786885245901
77459,190.74074074074062
48180,152.45901639344234
94533,303.5714285714284
33908,194.99999999999963
97229,113.55140186915887
91709,349.49494949494994
75056,208.82352941176472
76028,223.6363636363634
78577,145.09803921568616
44060,145.20547945205487
30040,207.4626865671641
11238,863.0252100840339
33024,314.49275362318826
98012,302.0618556701029
95608,283.9080459770111
14850,249.1803278688523
85364,209.80392156862752
43123,179.710144927536
33647,264.5833333333335
27587,169.6202531645566
80013,283.1325301204815
11385,423.5294117647059
90066,609.6153846153858
92677,354.0983606557378
20906,216.34615384615378
44256,166.666666666667
77845,179.72972972972957
47906,225.9999999999998
06902,263.0434782608698
02148,386.0465116279062
65807,180.76923076923092
78641,183.99999999999983
45011,209.6153846153848
11373,496.6666666666681
92336,340.2985074626864
99301,281.03448275862036
95823,314.06249999999915
07302,685.8407079646006
27410,148.00000000000009
30188,220.96774193548407
46307,179.1666666666668
92345,319.6078431372544
65203,178.68852459016406
77450,169.84126984126993
10028,370.0000000000004
89121,212.12121212121215
27406,127.69230769230766
92126,401.92307692307674
98103,452.94117647058886
27610,163.88888888888906
92804,371.42857142857036
08753,222.97297297297257
75228,302.04081632653026
60634,174.7967479674793
92101,408.5714285714287
20011,485.0574712643664
43130,175.80645161290323
28078,185.91549295774644
92503,351.31578947368337
76244,193.44262295081967
91911,337.49999999999955
28314,135.71428571428572
95747,254.2553191489357
34135,211.9047619047617
90019,649.0196078431378
75035,170.0000000000001
60016,155.37190082644642
11233,146.09374999999994
87120,163.52941176470569
77095,177.7777777777776
33009,316.66666666666634
22191,249.39759036144574
40475,231.11111111111083
23320,212.1212121212119
32218,238.09523809523782
21740,190.00000000000023
94536,459.7122302158278
07002,275.0000000000001
34711,261.1111111111107
43230,178.20512820512826
30052,201.88679245283035
90280,320.1680672268908
30041,216.41791044776107
92592,299.9999999999996
10027,494.5652173913039
89117,212.65822784810064
30080,239.39393939393895
46227,141.89189189189187
19111,237.28813559322012
74012,189.36170212765944
27834,183.78378378378375
21117,188.5057471264364
90201,314.0495867768594
32256,230.9090909090905
11236,315.6249999999988
38401,254.0
91730,356.47058823529403
89052,232.94117647058798
32244,226.08695652173853
32822,259.259259259259
92109,446.97986577181155
43026,185.52631578947356
80634,254.76190476190493
07093,368.29268292682843
48103,203.15789473684177
90004,663.1147540983618
29072,173.77049180327887
30062,226.47058823529403
75206,202.5
33186,284.61538461538447
90706,347.27272727272697
33012,299.9999999999997
30331,153.4482758620688
75217,267.49999999999983
02155,401.01010101010115
10701,273.63636363636385
37130,254.9019607843136
92335,377.46478873239477
95123,417.64705882353024
91342,376.344086021505
02360,311.26760563380327
20001,226.19926199262022
11372,641.5730337078643
32174,232.2033898305085
92021,311.9999999999991
93065,305.4054054054053
87121,167.60563380281698
45840,159.32203389830522
33063,269.99999999999955
60649,143.63636363636348
23454,259.090909090909
72401,219.99999999999935
34953,374.2857142857135
60626,263.6363636363639
27858,202.27272727272748
22193,243.18181818181807
48185,154.99999999999983
92627,415.78947368421046
33027,247.05882352941174
85705,210.34482758620646
23666,198.27586206896524
44130,132.46753246753264
90025,461.11111111111035
20878,245.87155963302752
30022,207.99999999999966
33064,318.0327868852459
37128,285.7142857142856
08831,197.89473684210503
20147,265.21739130434787
11218,618.1818181818194
20019,371.24999999999966
91710,338.63636363636346
43228,160.56338028169034
11223,480.7142857142864
43701,187.23404255319164
30004,220.2702702702698
44077,139.7058823529414
90027,590.4411764705894
55901,252.3809523809523
10021,353.439153439153
94544,375.38461538461536
60616,242.15686274509878
93727,256.66666666666663
97402,275.99999999999966
33313,257.57575757575773
58103,143.92523364485973
35242,204.16666666666634
27703,214.035087719298
27713,216.66666666666652
77082,182.35294117647044
71913,185.41666666666674
23223,245.83333333333303
80525,266.29213483146066
29464,373.43749999999983
19124,236.1111111111108
30127,193.44262295081958
27284,164.06250000000014
98682,271.79487179487177
95051,521.9653179190756
98115,436.6972477064212
80015,257.8313253012044
90731,374.38016528925584
77840,175.00000000000014
37064,286.7647058823529
91335,429.0322580645152
42101,253.8461538461537
75150,240.81632653061197
32225,266.66666666666634
60622,372.88135593220386
32828,231.147540983606
95687,298.8764044943818
77007,134.2857142857143
23452,257.3770491803276
85142,306.38297872340434
94568,359.9999999999996
43068,164.2857142857145
89031,220.00000000000003
85251,357.14285714285757
40601,167.98029556650218
07087,434.9999999999999
93550,333.333333333333
73160,260.5263157894735
33319,213.63636363636394
21215,209.0909090909093
30135,201.96078431372544
93536,282.25806451612834
63123,181.57894736842078
